风筝tv-国内 VIP,#genre#
黑龙江卫视高清,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
黑龙江卫视高清8M,http://39.134.115.163:8080/PLTV/88888910/224/3221225690/index.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
甘肃卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
旅游卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
辽宁卫视高清8M,http://39.134.115.163:8080/PLTV/88888910/224/3221225696/index.m3u8
风筝tv-马来 VIP,#genre#
8TV,https://video2.kitelive.tv/video/afrohd4k/120
ASTRO Adithya,https://video2.kitelive.tv/video/afrohd4k/14
ASTRO AEC HD,https://video2.kitelive.tv/video/afrohd4k/25
ASTRO AOD 351 HD,https://video2.kitelive.tv/video/afrohd4k/30
ASTRO AOD 352 HD,https://video2.kitelive.tv/video/afrohd4k/38
ASTRO AOD 353 HD,https://video2.kitelive.tv/video/afrohd4k/39
ASTRO AOD 354 HD,https://video2.kitelive.tv/video/afrohd4k/40
ASTRO AOD 355 HD,https://video2.kitelive.tv/video/afrohd4k/41
ASTRO Aura HD,https://video2.kitelive.tv/video/afrohd4k/155
ASTRO Awani HD,https://video2.kitelive.tv/video/afrohd4k/50
ASTRO Ceria HD,https://video2.kitelive.tv/video/afrohd4k/72
ASTRO Colors Tamil,https://video2.kitelive.tv/video/afrohd4k/18
ASTRO GO Shop 2,https://video2.kitelive.tv/video/afrohd4k/22
ASTRO GO Shop Gaaya,https://video2.kitelive.tv/video/afrohd4k/9
ASTRO GO Shop Rumma,https://video2.kitelive.tv/video/afrohd4k/8
ASTRO Hello,https://video2.kitelive.tv/video/afrohd4k/80
ASTRO 欢喜台,https://video2.kitelive.tv/video/afrohd4k/36
ASTRO 爱奇艺,https://video2.kitelive.tv/video/afrohd4k/21
ASTRO Naura HD,https://video2.kitelive.tv/video/afrohd4k/5
ASTRO Oasis HD,https://video2.kitelive.tv/video/afrohd4k/3
ASTRO Oh!K HD,https://video2.kitelive.tv/video/afrohd4k/44
ASTRO Prima HD,https://video2.kitelive.tv/video/afrohd4k/2
ASTRO 全佳HD,https://video2.kitelive.tv/video/afrohd4k/27
ASTRO Rania HD,https://video2.kitelive.tv/video/afrohd4k/154
ASTRO Ria HD,https://video2.kitelive.tv/video/afrohd4k/1
ASTRO 双星,https://video2.kitelive.tv/video/afrohd4k/26
ASTRO Star Vijay HD,https://video2.kitelive.tv/video/afrohd4k/17
Sun TV HD,https://video2.kitelive.tv/video/afrohd4k/19
ASTRO Tutor TV PT3,https://video2.kitelive.tv/video/afrohd4k/69
ASTRO Tutor TV SPM,https://video2.kitelive.tv/video/afrohd4k/70
ASTRO Tutor TV UPSR,https://video2.kitelive.tv/video/afrohd4k/68
ASTRO TVIQ,https://video2.kitelive.tv/video/afrohd4k/71
ASTRO Vaanavil HD,https://video2.kitelive.tv/video/afrohd4k/10
ASTRO Vinmeen HD,https://video2.kitelive.tv/video/afrohd4k/16
ASTRO Warna HD,https://video2.kitelive.tv/video/afrohd4k/4
ASTRO 小太阳,https://video2.kitelive.tv/video/afrohd4k/23
ASTRO Zee Tamil HD,https://video2.kitelive.tv/video/afrohd4k/15
Bernama News,https://video2.kitelive.tv/video/afrohd4k/51
BollyOne HD,https://video2.kitelive.tv/video/afrohd4k/20
Dunia Sinema,https://video2.kitelive.tv/video/afrohd4k/133
